counts_1_3,counts_2_3,counts_1_2,timestamp
21, 16, 18, Fri Jan 20 05:35:53 2023
20, 18, 22, Fri Jan 20 05:36:53 2023
16, 15, 14, Fri Jan 20 05:37:53 2023
16, 10, 14, Fri Jan 20 05:38:53 2023
17, 16, 18, Fri Jan 20 05:39:53 2023
10, 13, 16, Fri Jan 20 05:40:53 2023
13, 9, 15, Fri Jan 20 05:41:53 2023
9, 10, 15, Fri Jan 20 05:42:53 2023
15, 11, 17, Fri Jan 20 05:43:53 2023
16, 11, 16, Fri Jan 20 05:44:53 2023
13, 16, 18, Fri Jan 20 05:45:53 2023
9, 9, 12, Fri Jan 20 05:46:53 2023
16, 12, 18, Fri Jan 20 05:47:53 2023
